Serial No,Name,Description,Stars,Forks,Last Commit,Repository URL
2996,LEARN,,23,17,2018-06-13T05:34:07Z,https://github.com/maybe198376/LEARN
2997,MSWNNM,Multi-Scale Weighted Nuclear Norm Image Restoration,23,17,2018-06-15T08:45:45Z,https://github.com/noamyairTC/MSWNNM
2998,wrox-pro-cuda-c,"Sample code from the book ""Professional CUDA C Programming""",23,15,2023-05-23T12:09:44Z,https://github.com/kriegalex/wrox-pro-cuda-c
2999,CUDA_CNN_ON_HPC,,23,3,2020-08-20T19:44:37Z,https://github.com/erics666/CUDA_CNN_ON_HPC
3000,examples,Example codes appears in lectures,23,5,2022-01-11T18:51:39Z,https://github.com/dlsys-course/examples
3001,CUDA_CCL,A Connected Component Labelling algorithm implemented in CUDA,23,4,2021-09-30T07:46:23Z,https://github.com/FolkeV/CUDA_CCL
3002,cuhornet,,23,24,2023-04-21T20:37:51Z,https://github.com/rapidsai/cuhornet
3003,hybrid_BC,Hybrid methods for Parallel Betweenness Centrality on the GPU,23,10,2018-12-20T18:31:34Z,https://github.com/Adam27X/hybrid_BC
3004,matrix_format_performance,,23,7,2019-11-16T19:00:10Z,https://github.com/gevtushenko/matrix_format_performance
3005,gpuqt,A CUDA-implementation of linear-scaling quantum transport methods,22,11,2023-09-28T18:52:00Z,https://github.com/brucefan1983/gpuqt
3006,total-generalized-variation-stereo-matching-pipeline,GPU implementation of total generalized variation (TGV) stereo matching,22,3,2018-11-19T23:13:11Z,https://github.com/andrewmilson/total-generalized-variation-stereo-matching-pipeline
3007,iBFS,iBFS: Concurrent Breadth-First Search on GPUs. SIGMOD'16,22,11,2017-06-08T01:29:49Z,https://github.com/iHeartGraph/iBFS
3008,Shape-Measure,PyTorch version of shape evaluation metrics,22,3,2020-06-28T02:48:27Z,https://github.com/FengZicai/Shape-Measure
3009,online-softmax,"Benchmark code for the ""Online normalizer calculation for softmax"" paper",22,7,2018-07-27T06:33:42Z,https://github.com/NVIDIA/online-softmax
3010,easy_computed_tomography.github.io,Educational and easy-to-understand parallel-beam computed tomography simulator (implemented both in MATLAB and CUDA),22,4,2019-12-21T01:17:16Z,https://github.com/rehmanali1994/easy_computed_tomography.github.io
3011,3D-Voronoi-GPU,"Source code for paper ""Parallel Computation of 3D Clipped Voronoi Diagrams""",22,5,2020-09-23T06:50:33Z,https://github.com/xh-liu-tech/3D-Voronoi-GPU
3012,LOGAN,LOGAN: High-Performance GPU-Based X-Drop Long-Read Alignment.,22,4,2022-09-23T09:39:52Z,https://github.com/albertozeni/LOGAN
3013,PSROIAlign-Multi-Batch-PyTorch,PSROIAlign with multi-batch training support in PyTorch,22,2,2019-06-20T15:44:32Z,https://github.com/McDo/PSROIAlign-Multi-Batch-PyTorch
3014,ATOS,Multi-GPU dynamic scheduler using PGAS style cross-GPU communication,22,2,2023-07-23T07:38:43Z,https://github.com/owensgroup/ATOS
3015,parallel-DDP,"Code supporting the WAFR paper ""A Performance Analysis of Differential Dynamic Programming on a GPU,"" and the ICRA workshop follow on work deploying the algorithm onto robot hardware.",22,8,2023-09-12T19:08:43Z,https://github.com/plancherb1/parallel-DDP
3016,graphCut,Graph Cut Algorithm in CUDA,21,4,2019-06-01T18:36:38Z,https://github.com/metthueshoo/graphCut
3017,lstm-cuda,This is a c++ implementation of an LSTM Neural Network parallelized for a GPU using CUDA,21,11,2017-10-29T13:50:12Z,https://github.com/brandontrabucco/lstm-cuda
3018,OpenPH,Parallel reduction of boundary matrices for Persistent Homology with CUDA,21,5,2021-08-12T13:52:55Z,https://github.com/rodrgo/OpenPH
3019,cuda-PHDSLAM,PHD Filter SLAM with CUDA,21,9,2014-07-17T22:14:55Z,https://github.com/cheesinglee/cuda-PHDSLAM
3020,TCBNN,,21,8,2022-07-25T15:05:30Z,https://github.com/pnnl/TCBNN
3021,vDNN,,21,8,2018-11-07T09:15:24Z,https://github.com/shriramsb/vDNN
3022,GPUPowerTest,A utility for stressing GPUs by driving utilization (and thus power consumption) up and down in user-defined cycle intervals. It will also randomly drop power consumption down to idle and spike it back up,21,6,2023-05-10T18:45:18Z,https://github.com/NVIDIA/GPUPowerTest
3023,YacuDecu,GPU Deconvolution Library with C and Matlab API for nVidia GPUs,21,2,2019-03-02T20:53:29Z,https://github.com/bobpepin/YacuDecu
3024,Learning_CUDA,,21,8,2021-05-07T03:14:34Z,https://github.com/MARD1NO/Learning_CUDA
3025,vectorSparse,,21,9,2022-08-24T17:27:53Z,https://github.com/apuaaChen/vectorSparse
3026,Parallel-DFS,CUDA implementation of parallel Depth First Search (DFS) algorithm and it's comparison with a serial C++ DFS implementation.,21,6,2018-06-28T19:16:06Z,https://github.com/divyanshu-talwar/Parallel-DFS
3027,cytonMt,CytonMT: an Efficient Neural Machine Translation Open-source Toolkit Implemented in C++,21,6,2018-10-28T11:29:21Z,https://github.com/arthurxlw/cytonMt
3028,CUDA_Tutorial,,21,6,2019-10-26T16:13:08Z,https://github.com/DmitryLyakh/CUDA_Tutorial
3029,My-First-CUDA-Code,"The introduction to cuda, a simple and easy cuda project",21,3,2022-05-09T03:58:12Z,https://github.com/xcyuyuyu/My-First-CUDA-Code
3030,cuMat,,21,11,2017-06-22T08:17:04Z,https://github.com/takezo5096/cuMat
3031,Rotated_ROIAlign,"Rotated ROIAlign in pytorch, implemented with CUDA",21,3,2019-10-13T06:28:55Z,https://github.com/looput/Rotated_ROIAlign
3032,MGG_OSDI23,Artifact for OSDI'23: MGG: Accelerating Graph Neural Networks with Fine-grained intra-kernel Communication-Computation Pipelining on Multi-GPU Platforms.,21,2,2023-05-21T14:48:18Z,https://github.com/YukeWang96/MGG_OSDI23
3033,cudawesome,"A collection of awesome algorithms, implemented in CUDA.",21,4,2018-02-06T18:19:09Z,https://github.com/gmarciani/cudawesome
3034,FluidSimulation,fluid simulation on C++ with CUDA and SFML ,21,1,2020-11-24T14:44:20Z,https://github.com/MomoDeve/FluidSimulation
3035,OccuSeg,"This is the official code repository for OccuSeg, a state-of-the-art method for accurate joint 3D semantic and instance segmentation.",21,4,2022-03-02T03:07:46Z,https://github.com/THU-luvision/OccuSeg
3036,cuda_keeloq_brute,Cuda accelerated KeeLoQ Bruteforcer,21,7,2021-07-23T07:28:28Z,https://github.com/neo7530/cuda_keeloq_brute
3037,Cuda-Opengl-LBM,Lattice-Botlzmann fluid simulator using CUDA and OpenGL,21,6,2017-02-26T21:11:47Z,https://github.com/Toms42/Cuda-Opengl-LBM
3038,Robust-visual-odometry-cuda,Visual odometry (based on image intensity) implementation on CUDA,23,2,2018-10-16T19:53:11Z,https://github.com/fracogno/Robust-visual-odometry-cuda
3039,LEARN,,23,17,2018-06-13T05:34:07Z,https://github.com/maybe198376/LEARN
3040,MSWNNM,Multi-Scale Weighted Nuclear Norm Image Restoration,23,17,2018-06-15T08:45:45Z,https://github.com/noamyairTC/MSWNNM
3041,wrox-pro-cuda-c,"Sample code from the book ""Professional CUDA C Programming""",23,15,2023-05-23T12:09:44Z,https://github.com/kriegalex/wrox-pro-cuda-c
3042,CUDA_CNN_ON_HPC,,23,3,2020-08-20T19:44:37Z,https://github.com/erics666/CUDA_CNN_ON_HPC
3043,examples,Example codes appears in lectures,23,5,2022-01-11T18:51:39Z,https://github.com/dlsys-course/examples
3044,CUDA_CCL,A Connected Component Labelling algorithm implemented in CUDA,23,4,2021-09-30T07:46:23Z,https://github.com/FolkeV/CUDA_CCL
3045,cuhornet,,23,24,2023-04-21T20:37:51Z,https://github.com/rapidsai/cuhornet
3046,hybrid_BC,Hybrid methods for Parallel Betweenness Centrality on the GPU,23,10,2018-12-20T18:31:34Z,https://github.com/Adam27X/hybrid_BC
3047,matrix_format_performance,,23,7,2019-11-16T19:00:10Z,https://github.com/gevtushenko/matrix_format_performance
3048,gpuqt,A CUDA-implementation of linear-scaling quantum transport methods,22,11,2023-09-28T18:52:00Z,https://github.com/brucefan1983/gpuqt
3049,total-generalized-variation-stereo-matching-pipeline,GPU implementation of total generalized variation (TGV) stereo matching,22,3,2018-11-19T23:13:11Z,https://github.com/andrewmilson/total-generalized-variation-stereo-matching-pipeline
3050,iBFS,iBFS: Concurrent Breadth-First Search on GPUs. SIGMOD'16,22,11,2017-06-08T01:29:49Z,https://github.com/iHeartGraph/iBFS
3051,Shape-Measure,PyTorch version of shape evaluation metrics,22,3,2020-06-28T02:48:27Z,https://github.com/FengZicai/Shape-Measure
3052,online-softmax,"Benchmark code for the ""Online normalizer calculation for softmax"" paper",22,7,2018-07-27T06:33:42Z,https://github.com/NVIDIA/online-softmax
3053,easy_computed_tomography.github.io,Educational and easy-to-understand parallel-beam computed tomography simulator (implemented both in MATLAB and CUDA),22,4,2019-12-21T01:17:16Z,https://github.com/rehmanali1994/easy_computed_tomography.github.io
3054,3D-Voronoi-GPU,"Source code for paper ""Parallel Computation of 3D Clipped Voronoi Diagrams""",22,5,2020-09-23T06:50:33Z,https://github.com/xh-liu-tech/3D-Voronoi-GPU
3055,LOGAN,LOGAN: High-Performance GPU-Based X-Drop Long-Read Alignment.,22,4,2022-09-23T09:39:52Z,https://github.com/albertozeni/LOGAN
3056,PSROIAlign-Multi-Batch-PyTorch,PSROIAlign with multi-batch training support in PyTorch,22,2,2019-06-20T15:44:32Z,https://github.com/McDo/PSROIAlign-Multi-Batch-PyTorch
3057,ATOS,Multi-GPU dynamic scheduler using PGAS style cross-GPU communication,22,2,2023-07-23T07:38:43Z,https://github.com/owensgroup/ATOS
3058,parallel-DDP,"Code supporting the WAFR paper ""A Performance Analysis of Differential Dynamic Programming on a GPU,"" and the ICRA workshop follow on work deploying the algorithm onto robot hardware.",22,8,2023-09-12T19:08:43Z,https://github.com/plancherb1/parallel-DDP
3059,graphCut,Graph Cut Algorithm in CUDA,21,4,2019-06-01T18:36:38Z,https://github.com/metthueshoo/graphCut
3060,lstm-cuda,This is a c++ implementation of an LSTM Neural Network parallelized for a GPU using CUDA,21,11,2017-10-29T13:50:12Z,https://github.com/brandontrabucco/lstm-cuda
3061,OpenPH,Parallel reduction of boundary matrices for Persistent Homology with CUDA,21,5,2021-08-12T13:52:55Z,https://github.com/rodrgo/OpenPH
3062,cuda-PHDSLAM,PHD Filter SLAM with CUDA,21,9,2014-07-17T22:14:55Z,https://github.com/cheesinglee/cuda-PHDSLAM
3063,TCBNN,,21,8,2022-07-25T15:05:30Z,https://github.com/pnnl/TCBNN
3064,vDNN,,21,8,2018-11-07T09:15:24Z,https://github.com/shriramsb/vDNN
3065,GPUPowerTest,A utility for stressing GPUs by driving utilization (and thus power consumption) up and down in user-defined cycle intervals. It will also randomly drop power consumption down to idle and spike it back up,21,6,2023-05-10T18:45:18Z,https://github.com/NVIDIA/GPUPowerTest
3066,YacuDecu,GPU Deconvolution Library with C and Matlab API for nVidia GPUs,21,2,2019-03-02T20:53:29Z,https://github.com/bobpepin/YacuDecu
3067,Learning_CUDA,,21,8,2021-05-07T03:14:34Z,https://github.com/MARD1NO/Learning_CUDA
3068,vectorSparse,,21,9,2022-08-24T17:27:53Z,https://github.com/apuaaChen/vectorSparse
3069,Parallel-DFS,CUDA implementation of parallel Depth First Search (DFS) algorithm and it's comparison with a serial C++ DFS implementation.,21,6,2018-06-28T19:16:06Z,https://github.com/divyanshu-talwar/Parallel-DFS
3070,cytonMt,CytonMT: an Efficient Neural Machine Translation Open-source Toolkit Implemented in C++,21,6,2018-10-28T11:29:21Z,https://github.com/arthurxlw/cytonMt
3071,CUDA_Tutorial,,21,6,2019-10-26T16:13:08Z,https://github.com/DmitryLyakh/CUDA_Tutorial
3072,My-First-CUDA-Code,"The introduction to cuda, a simple and easy cuda project",21,3,2022-05-09T03:58:12Z,https://github.com/xcyuyuyu/My-First-CUDA-Code
3073,cuMat,,21,11,2017-06-22T08:17:04Z,https://github.com/takezo5096/cuMat
3074,Rotated_ROIAlign,"Rotated ROIAlign in pytorch, implemented with CUDA",21,3,2019-10-13T06:28:55Z,https://github.com/looput/Rotated_ROIAlign
3075,MGG_OSDI23,Artifact for OSDI'23: MGG: Accelerating Graph Neural Networks with Fine-grained intra-kernel Communication-Computation Pipelining on Multi-GPU Platforms.,21,2,2023-05-21T14:48:18Z,https://github.com/YukeWang96/MGG_OSDI23
3076,cudawesome,"A collection of awesome algorithms, implemented in CUDA.",21,4,2018-02-06T18:19:09Z,https://github.com/gmarciani/cudawesome
3077,FluidSimulation,fluid simulation on C++ with CUDA and SFML ,21,1,2020-11-24T14:44:20Z,https://github.com/MomoDeve/FluidSimulation
3078,OccuSeg,"This is the official code repository for OccuSeg, a state-of-the-art method for accurate joint 3D semantic and instance segmentation.",21,4,2022-03-02T03:07:46Z,https://github.com/THU-luvision/OccuSeg
3079,cuda_keeloq_brute,Cuda accelerated KeeLoQ Bruteforcer,21,7,2021-07-23T07:28:28Z,https://github.com/neo7530/cuda_keeloq_brute
3080,Cuda-Opengl-LBM,Lattice-Botlzmann fluid simulator using CUDA and OpenGL,21,6,2017-02-26T21:11:47Z,https://github.com/Toms42/Cuda-Opengl-LBM
3081,Robust-visual-odometry-cuda,Visual odometry (based on image intensity) implementation on CUDA,23,2,2018-10-16T19:53:11Z,https://github.com/fracogno/Robust-visual-odometry-cuda
3082,LEARN,,23,17,2018-06-13T05:34:07Z,https://github.com/maybe198376/LEARN
3083,MSWNNM,Multi-Scale Weighted Nuclear Norm Image Restoration,23,17,2018-06-15T08:45:45Z,https://github.com/noamyairTC/MSWNNM
3084,wrox-pro-cuda-c,"Sample code from the book ""Professional CUDA C Programming""",23,15,2023-05-23T12:09:44Z,https://github.com/kriegalex/wrox-pro-cuda-c
3085,CUDA_CNN_ON_HPC,,23,3,2020-08-20T19:44:37Z,https://github.com/erics666/CUDA_CNN_ON_HPC
3086,examples,Example codes appears in lectures,23,5,2022-01-11T18:51:39Z,https://github.com/dlsys-course/examples
3087,CUDA_CCL,A Connected Component Labelling algorithm implemented in CUDA,23,4,2021-09-30T07:46:23Z,https://github.com/FolkeV/CUDA_CCL
3088,cuhornet,,23,24,2023-04-21T20:37:51Z,https://github.com/rapidsai/cuhornet
3089,hybrid_BC,Hybrid methods for Parallel Betweenness Centrality on the GPU,23,10,2018-12-20T18:31:34Z,https://github.com/Adam27X/hybrid_BC
3090,matrix_format_performance,,23,7,2019-11-16T19:00:10Z,https://github.com/gevtushenko/matrix_format_performance
3091,gpuqt,A CUDA-implementation of linear-scaling quantum transport methods,22,11,2023-09-28T18:52:00Z,https://github.com/brucefan1983/gpuqt
3092,total-generalized-variation-stereo-matching-pipeline,GPU implementation of total generalized variation (TGV) stereo matching,22,3,2018-11-19T23:13:11Z,https://github.com/andrewmilson/total-generalized-variation-stereo-matching-pipeline
3093,iBFS,iBFS: Concurrent Breadth-First Search on GPUs. SIGMOD'16,22,11,2017-06-08T01:29:49Z,https://github.com/iHeartGraph/iBFS
3094,Shape-Measure,PyTorch version of shape evaluation metrics,22,3,2020-06-28T02:48:27Z,https://github.com/FengZicai/Shape-Measure
3095,online-softmax,"Benchmark code for the ""Online normalizer calculation for softmax"" paper",22,7,2018-07-27T06:33:42Z,https://github.com/NVIDIA/online-softmax
3096,easy_computed_tomography.github.io,Educational and easy-to-understand parallel-beam computed tomography simulator (implemented both in MATLAB and CUDA),22,4,2019-12-21T01:17:16Z,https://github.com/rehmanali1994/easy_computed_tomography.github.io
3097,3D-Voronoi-GPU,"Source code for paper ""Parallel Computation of 3D Clipped Voronoi Diagrams""",22,5,2020-09-23T06:50:33Z,https://github.com/xh-liu-tech/3D-Voronoi-GPU
3098,LOGAN,LOGAN: High-Performance GPU-Based X-Drop Long-Read Alignment.,22,4,2022-09-23T09:39:52Z,https://github.com/albertozeni/LOGAN
3099,PSROIAlign-Multi-Batch-PyTorch,PSROIAlign with multi-batch training support in PyTorch,22,2,2019-06-20T15:44:32Z,https://github.com/McDo/PSROIAlign-Multi-Batch-PyTorch
3100,ATOS,Multi-GPU dynamic scheduler using PGAS style cross-GPU communication,22,2,2023-07-23T07:38:43Z,https://github.com/owensgroup/ATOS
3101,parallel-DDP,"Code supporting the WAFR paper ""A Performance Analysis of Differential Dynamic Programming on a GPU,"" and the ICRA workshop follow on work deploying the algorithm onto robot hardware.",22,8,2023-09-12T19:08:43Z,https://github.com/plancherb1/parallel-DDP
3102,graphCut,Graph Cut Algorithm in CUDA,21,4,2019-06-01T18:36:38Z,https://github.com/metthueshoo/graphCut
3103,lstm-cuda,This is a c++ implementation of an LSTM Neural Network parallelized for a GPU using CUDA,21,11,2017-10-29T13:50:12Z,https://github.com/brandontrabucco/lstm-cuda
3104,OpenPH,Parallel reduction of boundary matrices for Persistent Homology with CUDA,21,5,2021-08-12T13:52:55Z,https://github.com/rodrgo/OpenPH
3105,cuda-PHDSLAM,PHD Filter SLAM with CUDA,21,9,2014-07-17T22:14:55Z,https://github.com/cheesinglee/cuda-PHDSLAM
3106,TCBNN,,21,8,2022-07-25T15:05:30Z,https://github.com/pnnl/TCBNN
3107,vDNN,,21,8,2018-11-07T09:15:24Z,https://github.com/shriramsb/vDNN
3108,GPUPowerTest,A utility for stressing GPUs by driving utilization (and thus power consumption) up and down in user-defined cycle intervals. It will also randomly drop power consumption down to idle and spike it back up,21,6,2023-05-10T18:45:18Z,https://github.com/NVIDIA/GPUPowerTest
3109,YacuDecu,GPU Deconvolution Library with C and Matlab API for nVidia GPUs,21,2,2019-03-02T20:53:29Z,https://github.com/bobpepin/YacuDecu
3110,Learning_CUDA,,21,8,2021-05-07T03:14:34Z,https://github.com/MARD1NO/Learning_CUDA
3111,vectorSparse,,21,9,2022-08-24T17:27:53Z,https://github.com/apuaaChen/vectorSparse
3112,Parallel-DFS,CUDA implementation of parallel Depth First Search (DFS) algorithm and it's comparison with a serial C++ DFS implementation.,21,6,2018-06-28T19:16:06Z,https://github.com/divyanshu-talwar/Parallel-DFS
3113,cytonMt,CytonMT: an Efficient Neural Machine Translation Open-source Toolkit Implemented in C++,21,6,2018-10-28T11:29:21Z,https://github.com/arthurxlw/cytonMt
3114,CUDA_Tutorial,,21,6,2019-10-26T16:13:08Z,https://github.com/DmitryLyakh/CUDA_Tutorial
3115,My-First-CUDA-Code,"The introduction to cuda, a simple and easy cuda project",21,3,2022-05-09T03:58:12Z,https://github.com/xcyuyuyu/My-First-CUDA-Code
3116,cuMat,,21,11,2017-06-22T08:17:04Z,https://github.com/takezo5096/cuMat
3117,Rotated_ROIAlign,"Rotated ROIAlign in pytorch, implemented with CUDA",21,3,2019-10-13T06:28:55Z,https://github.com/looput/Rotated_ROIAlign
3118,MGG_OSDI23,Artifact for OSDI'23: MGG: Accelerating Graph Neural Networks with Fine-grained intra-kernel Communication-Computation Pipelining on Multi-GPU Platforms.,21,2,2023-05-21T14:48:18Z,https://github.com/YukeWang96/MGG_OSDI23
3119,cudawesome,"A collection of awesome algorithms, implemented in CUDA.",21,4,2018-02-06T18:19:09Z,https://github.com/gmarciani/cudawesome
3120,FluidSimulation,fluid simulation on C++ with CUDA and SFML ,21,1,2020-11-24T14:44:20Z,https://github.com/MomoDeve/FluidSimulation
3121,OccuSeg,"This is the official code repository for OccuSeg, a state-of-the-art method for accurate joint 3D semantic and instance segmentation.",21,4,2022-03-02T03:07:46Z,https://github.com/THU-luvision/OccuSeg
3122,cuda_keeloq_brute,Cuda accelerated KeeLoQ Bruteforcer,21,7,2021-07-23T07:28:28Z,https://github.com/neo7530/cuda_keeloq_brute
3123,Cuda-Opengl-LBM,Lattice-Botlzmann fluid simulator using CUDA and OpenGL,21,6,2017-02-26T21:11:47Z,https://github.com/Toms42/Cuda-Opengl-LBM
3124,Robust-visual-odometry-cuda,Visual odometry (based on image intensity) implementation on CUDA,23,2,2018-10-16T19:53:11Z,https://github.com/fracogno/Robust-visual-odometry-cuda
3125,LEARN,,23,17,2018-06-13T05:34:07Z,https://github.com/maybe198376/LEARN
3126,MSWNNM,Multi-Scale Weighted Nuclear Norm Image Restoration,23,17,2018-06-15T08:45:45Z,https://github.com/noamyairTC/MSWNNM
3127,wrox-pro-cuda-c,"Sample code from the book ""Professional CUDA C Programming""",23,15,2023-05-23T12:09:44Z,https://github.com/kriegalex/wrox-pro-cuda-c
3128,CUDA_CNN_ON_HPC,,23,3,2020-08-20T19:44:37Z,https://github.com/erics666/CUDA_CNN_ON_HPC
3129,examples,Example codes appears in lectures,23,5,2022-01-11T18:51:39Z,https://github.com/dlsys-course/examples
3130,CUDA_CCL,A Connected Component Labelling algorithm implemented in CUDA,23,4,2021-09-30T07:46:23Z,https://github.com/FolkeV/CUDA_CCL
3131,cuhornet,,23,24,2023-04-21T20:37:51Z,https://github.com/rapidsai/cuhornet
3132,hybrid_BC,Hybrid methods for Parallel Betweenness Centrality on the GPU,23,10,2018-12-20T18:31:34Z,https://github.com/Adam27X/hybrid_BC
3133,matrix_format_performance,,23,7,2019-11-16T19:00:10Z,https://github.com/gevtushenko/matrix_format_performance
3134,gpuqt,A CUDA-implementation of linear-scaling quantum transport methods,22,11,2023-09-28T18:52:00Z,https://github.com/brucefan1983/gpuqt
3135,total-generalized-variation-stereo-matching-pipeline,GPU implementation of total generalized variation (TGV) stereo matching,22,3,2018-11-19T23:13:11Z,https://github.com/andrewmilson/total-generalized-variation-stereo-matching-pipeline
3136,iBFS,iBFS: Concurrent Breadth-First Search on GPUs. SIGMOD'16,22,11,2017-06-08T01:29:49Z,https://github.com/iHeartGraph/iBFS
3137,Shape-Measure,PyTorch version of shape evaluation metrics,22,3,2020-06-28T02:48:27Z,https://github.com/FengZicai/Shape-Measure
3138,online-softmax,"Benchmark code for the ""Online normalizer calculation for softmax"" paper",22,7,2018-07-27T06:33:42Z,https://github.com/NVIDIA/online-softmax
3139,easy_computed_tomography.github.io,Educational and easy-to-understand parallel-beam computed tomography simulator (implemented both in MATLAB and CUDA),22,4,2019-12-21T01:17:16Z,https://github.com/rehmanali1994/easy_computed_tomography.github.io
3140,3D-Voronoi-GPU,"Source code for paper ""Parallel Computation of 3D Clipped Voronoi Diagrams""",22,5,2020-09-23T06:50:33Z,https://github.com/xh-liu-tech/3D-Voronoi-GPU
3141,LOGAN,LOGAN: High-Performance GPU-Based X-Drop Long-Read Alignment.,22,4,2022-09-23T09:39:52Z,https://github.com/albertozeni/LOGAN
3142,PSROIAlign-Multi-Batch-PyTorch,PSROIAlign with multi-batch training support in PyTorch,22,2,2019-06-20T15:44:32Z,https://github.com/McDo/PSROIAlign-Multi-Batch-PyTorch
3143,ATOS,Multi-GPU dynamic scheduler using PGAS style cross-GPU communication,22,2,2023-07-23T07:38:43Z,https://github.com/owensgroup/ATOS
3144,parallel-DDP,"Code supporting the WAFR paper ""A Performance Analysis of Differential Dynamic Programming on a GPU,"" and the ICRA workshop follow on work deploying the algorithm onto robot hardware.",22,8,2023-09-12T19:08:43Z,https://github.com/plancherb1/parallel-DDP
3145,graphCut,Graph Cut Algorithm in CUDA,21,4,2019-06-01T18:36:38Z,https://github.com/metthueshoo/graphCut
3146,lstm-cuda,This is a c++ implementation of an LSTM Neural Network parallelized for a GPU using CUDA,21,11,2017-10-29T13:50:12Z,https://github.com/brandontrabucco/lstm-cuda
3147,OpenPH,Parallel reduction of boundary matrices for Persistent Homology with CUDA,21,5,2021-08-12T13:52:55Z,https://github.com/rodrgo/OpenPH
3148,cuda-PHDSLAM,PHD Filter SLAM with CUDA,21,9,2014-07-17T22:14:55Z,https://github.com/cheesinglee/cuda-PHDSLAM
3149,TCBNN,,21,8,2022-07-25T15:05:30Z,https://github.com/pnnl/TCBNN
3150,vDNN,,21,8,2018-11-07T09:15:24Z,https://github.com/shriramsb/vDNN
3151,GPUPowerTest,A utility for stressing GPUs by driving utilization (and thus power consumption) up and down in user-defined cycle intervals. It will also randomly drop power consumption down to idle and spike it back up,21,6,2023-05-10T18:45:18Z,https://github.com/NVIDIA/GPUPowerTest
3152,YacuDecu,GPU Deconvolution Library with C and Matlab API for nVidia GPUs,21,2,2019-03-02T20:53:29Z,https://github.com/bobpepin/YacuDecu
3153,Learning_CUDA,,21,8,2021-05-07T03:14:34Z,https://github.com/MARD1NO/Learning_CUDA
3154,vectorSparse,,21,9,2022-08-24T17:27:53Z,https://github.com/apuaaChen/vectorSparse
3155,Parallel-DFS,CUDA implementation of parallel Depth First Search (DFS) algorithm and it's comparison with a serial C++ DFS implementation.,21,6,2018-06-28T19:16:06Z,https://github.com/divyanshu-talwar/Parallel-DFS
3156,cytonMt,CytonMT: an Efficient Neural Machine Translation Open-source Toolkit Implemented in C++,21,6,2018-10-28T11:29:21Z,https://github.com/arthurxlw/cytonMt
3157,CUDA_Tutorial,,21,6,2019-10-26T16:13:08Z,https://github.com/DmitryLyakh/CUDA_Tutorial
3158,My-First-CUDA-Code,"The introduction to cuda, a simple and easy cuda project",21,3,2022-05-09T03:58:12Z,https://github.com/xcyuyuyu/My-First-CUDA-Code
3159,cuMat,,21,11,2017-06-22T08:17:04Z,https://github.com/takezo5096/cuMat
3160,Rotated_ROIAlign,"Rotated ROIAlign in pytorch, implemented with CUDA",21,3,2019-10-13T06:28:55Z,https://github.com/looput/Rotated_ROIAlign
3161,MGG_OSDI23,Artifact for OSDI'23: MGG: Accelerating Graph Neural Networks with Fine-grained intra-kernel Communication-Computation Pipelining on Multi-GPU Platforms.,21,2,2023-05-21T14:48:18Z,https://github.com/YukeWang96/MGG_OSDI23
3162,cudawesome,"A collection of awesome algorithms, implemented in CUDA.",21,4,2018-02-06T18:19:09Z,https://github.com/gmarciani/cudawesome
3163,FluidSimulation,fluid simulation on C++ with CUDA and SFML ,21,1,2020-11-24T14:44:20Z,https://github.com/MomoDeve/FluidSimulation
3164,OccuSeg,"This is the official code repository for OccuSeg, a state-of-the-art method for accurate joint 3D semantic and instance segmentation.",21,4,2022-03-02T03:07:46Z,https://github.com/THU-luvision/OccuSeg
3165,cuda_keeloq_brute,Cuda accelerated KeeLoQ Bruteforcer,21,7,2021-07-23T07:28:28Z,https://github.com/neo7530/cuda_keeloq_brute
3166,Cuda-Opengl-LBM,Lattice-Botlzmann fluid simulator using CUDA and OpenGL,21,6,2017-02-26T21:11:47Z,https://github.com/Toms42/Cuda-Opengl-LBM
3167,Robust-visual-odometry-cuda,Visual odometry (based on image intensity) implementation on CUDA,23,2,2018-10-16T19:53:11Z,https://github.com/fracogno/Robust-visual-odometry-cuda
3168,LEARN,,23,17,2018-06-13T05:34:07Z,https://github.com/maybe198376/LEARN
3169,MSWNNM,Multi-Scale Weighted Nuclear Norm Image Restoration,23,17,2018-06-15T08:45:45Z,https://github.com/noamyairTC/MSWNNM
3170,wrox-pro-cuda-c,"Sample code from the book ""Professional CUDA C Programming""",23,15,2023-05-23T12:09:44Z,https://github.com/kriegalex/wrox-pro-cuda-c
3171,CUDA_CNN_ON_HPC,,23,3,2020-08-20T19:44:37Z,https://github.com/erics666/CUDA_CNN_ON_HPC
3172,examples,Example codes appears in lectures,23,5,2022-01-11T18:51:39Z,https://github.com/dlsys-course/examples
3173,CUDA_CCL,A Connected Component Labelling algorithm implemented in CUDA,23,4,2021-09-30T07:46:23Z,https://github.com/FolkeV/CUDA_CCL
3174,cuhornet,,23,24,2023-04-21T20:37:51Z,https://github.com/rapidsai/cuhornet
3175,hybrid_BC,Hybrid methods for Parallel Betweenness Centrality on the GPU,23,10,2018-12-20T18:31:34Z,https://github.com/Adam27X/hybrid_BC
3176,matrix_format_performance,,23,7,2019-11-16T19:00:10Z,https://github.com/gevtushenko/matrix_format_performance
3177,gpuqt,A CUDA-implementation of linear-scaling quantum transport methods,22,11,2023-09-28T18:52:00Z,https://github.com/brucefan1983/gpuqt
3178,total-generalized-variation-stereo-matching-pipeline,GPU implementation of total generalized variation (TGV) stereo matching,22,3,2018-11-19T23:13:11Z,https://github.com/andrewmilson/total-generalized-variation-stereo-matching-pipeline
